,Date,DateSat,x,y,z,vx,vy,vz,Lat,Lon,Alt,ChType,BTO,BFO
350,2014-03-07 16:56:03.188,2014-03-07 16:56:03.200,18126.21822287732,38078.23954295073,922.8019365869162,0.002084725472486948,-0.001172789696514354,0.05662225101156512,1.254795874031825,64.54435426938467,35804.37832365338,T-Channel RX,10240.0,163.0
351,2014-03-07 16:56:03.348,2014-03-07 16:56:03.300,18126.21843155548,38078.23942557378,922.8075987772588,0.00208472058006981,-0.001172794454560755,0.05662176093234374,1.254803571312631,64.54435394485478,35804.37843136217,T-Channel RX,10240.0,163.0
352,2014-03-07 16:56:03.508,2014-03-07 16:56:03.500,18126.21884891035,38078.23919081846,922.8189230109173,0.002084710795247524,-0.001172803969975877,0.05662078076489062,1.254818965674323,64.54435329579596,35804.37864677691,T-Channel RX,10240.0,163.0
353,2014-03-07 16:56:03.668,2014-03-07 16:56:03.700,18126.21926557059,38078.23895639092,922.8302470485436,0.002084701010464762,-0.001172813484447977,0.05661980058542354,1.254834359769461,64.54435264778064,35804.37886218781,T-Channel RX,10240.0,162.0
354,2014-03-07 16:56:03.828,2014-03-07 16:56:03.800,18126.21947452336,38078.2388388797,922.8359089938422,0.002084696118060059,-0.001172818241377716,0.0566193104911849,1.254842056717069,64.54435232283548,35804.37896989181,T-Channel RX,10240.0,162.0
355,2014-03-07 16:56:03.988,2014-03-07 16:56:04.000,18126.2198907651,38078.23860464715,922.8472327374183,0.002084686333315933,-0.001172827754472472,0.05661833029369724,1.254857450412372,64.54435167544742,35804.37918529703,T-Channel RX,10240.0,163.0
356,2014-03-07 16:56:07.906,2014-03-07 16:56:07.900,18126.22802066366,38078.23403026997,923.0680065503817,0.002084495533951625,-0.001173013079853735,0.05659921404179249,1.255157574186658,64.5443390312106,35804.38338493807,R-Channel RX,15220.0,158.0
357,2014-03-07 16:56:08.407,2014-03-07 16:56:08.400,18126.22906324196,38078.2334435985,923.0963054933362,0.002084471072979266,-0.001173036814679618,0.05659676290997993,1.255196044261802,64.54433740968234,35804.38392324897,R-Channel RX,15200.0,158.0
358,2014-03-07 16:56:12.748,2014-03-07 16:56:12.700,18126.23802586297,38078.22839918486,923.3396258066294,0.002084260713426378,-0.001173240700843792,0.05657568007848494,1.255526818110114,64.54432346945813,35804.38855174065,T-Channel RX,10260.0,156.0
359,2014-03-07 16:56:12.949,2014-03-07 16:56:12.900,18126.23844340289,38078.22816420838,923.350940824054,0.002084250929445641,-0.001173250173791551,0.05657469934660751,1.255542199940055,64.5443228200431,35804.38876697651,T-Channel RX,10260.0,156.0
360,2014-03-07 16:56:13.068,2014-03-07 16:56:13.100,18126.23885969412,38078.2279298235,923.3622556453281,0.002084241145523524,-0.00117325964576831,0.05657371860272623,1.255557581503281,64.54432217250533,35804.38898220856,T-Channel RX,10260.0,156.0
361,2014-03-07 16:56:13.228,2014-03-07 16:56:13.200,18126.23906846238,38078.22781233362,923.3679129824104,0.00208423625355092,-0.001173264381451933,0.05657322822628406,1.255565272184878,64.54432184779895,35804.38908982316,T-Channel RX,10260.0,156.0
362,2014-03-07 16:56:13.403,2014-03-07 16:56:13.400,18126.23948488921,38078.22757787996,923.3792275094581,0.002084226469652339,-0.001173273852081547,0.05657224746439715,1.255580653348029,64.54432120005468,35804.38930504952,T-Channel RX,10260.0,156.0
363,2014-03-07 16:56:13.548,2014-03-07 16:56:13.500,18126.23969365599,38078.22746038865,923.3848846994258,0.002084221577692613,-0.001173278587087934,0.05657175707895226,1.255588343829588,64.54432087534927,35804.38941266128,T-Channel RX,10260.0,156.0
364,2014-03-07 16:56:17.407,2014-03-07 16:56:17.400,18126.24782091083,38078.22288465053,923.6054768549312,0.002084030795392433,-0.001173463075371251,0.05655262970620009,1.255888220595659,64.54430823355987,35804.39360877706,R-Channel RX,15240.0,156.0
