,Date,DateSat,x,y,z,Lat,Lon,ChType,BFO,BTO,bias,dist
0,2014-03-07 16:00:27.741,2014-03-07 16:00:27.700,18118.95185525679,38081.76178165426,706.9972039224698,0.9614139177499714,64.55532479455377,T-Channel RX,86.0,9820.0,-0.5025881407270881,37638.44332395796
1,2014-03-07 16:00:27.901,2014-03-07 16:00:27.900,18118.94269632412,38081.7653846541,706.705115208686,0.9610168095179308,64.55533813404608,T-Channel RX,86.0,9820.0,-0.5025881407270881,37638.47520971972
2,2014-03-07 16:00:28.061,2014-03-07 16:00:28.100,18118.94269632412,38081.7653846541,706.705115208686,0.9610168095179308,64.55533813404608,T-Channel RX,88.0,9820.0,-0.5025881407270881,37638.47520971972
3,2014-03-07 16:00:28.221,2014-03-07 16:00:28.200,18118.94247342167,38081.76547227043,706.6979903052354,0.9610071228785874,64.55533845865038,T-Channel RX,88.0,9820.0,-0.5025881407270881,37638.47598744333
4,2014-03-07 16:00:28.405,2014-03-07 16:00:28.400,18118.94269632412,38081.7653846541,706.705115208686,0.9610168095179308,64.55533813404608,T-Channel RX,88.0,9820.0,-0.5025881407270881,37638.47520971972
5,2014-03-07 16:00:28.541,2014-03-07 16:00:28.500,18118.94247342167,38081.76547227043,706.6979903052354,0.9610071228785874,64.55533845865038,T-Channel RX,88.0,9820.0,-0.5025881407270881,37638.47598744333
6,2014-03-07 16:01:24.241,2014-03-07 16:01:24.200,18118.94962164689,38081.76266052778,706.9259685931274,0.9613170700020765,64.55532804780403,T-Channel RX,88.0,9800.0,-0.5025881407270881,37635.45110034757
7,2014-03-07 16:01:24.401,2014-03-07 16:01:24.400,18118.94269632412,38081.7653846541,706.705115208686,0.9610168095179308,64.55533813404608,T-Channel RX,88.0,9800.0,-0.5025881407270881,37635.475209719705
8,2014-03-07 16:01:24.561,2014-03-07 16:01:24.600,18118.94269632412,38081.7653846541,706.705115208686,0.9610168095179308,64.55533813404608,T-Channel RX,88.0,9800.0,-0.5025881407270881,37635.475209719705
9,2014-03-07 16:01:24.721,2014-03-07 16:01:24.700,18118.94247342167,38081.76547227043,706.6979903052354,0.9610071228785874,64.55533845865038,T-Channel RX,88.0,9800.0,-0.5025881407270881,37635.475987443315
10,2014-03-07 16:01:24.881,2014-03-07 16:01:24.900,18118.94269632412,38081.7653846541,706.705115208686,0.9610168095179308,64.55533813404608,T-Channel RX,86.0,9800.0,-0.5025881407270881,37635.475209719705
11,2014-03-07 16:01:25.041,2014-03-07 16:01:25.000,18118.94247342167,38081.76547227043,706.6979903052354,0.9610071228785874,64.55533845865038,T-Channel RX,86.0,9800.0,-0.5025881407270881,37635.475987443315
12,2014-03-07 16:09:41.749,2014-03-07 16:09:41.700,18118.95185525679,38081.76178165426,706.9972039224698,0.9614139177499714,64.55532479455377,T-Channel RX,88.0,9900.0,-0.5025881407270881,37650.443323957945
13,2014-03-07 16:09:41.948,2014-03-07 16:09:41.900,18118.94269632412,38081.7653846541,706.705115208686,0.9610168095179308,64.55533813404608,T-Channel RX,88.0,9900.0,-0.5025881407270881,37650.475209719705
14,2014-03-07 16:09:42.068,2014-03-07 16:09:42.100,18118.94269632412,38081.7653846541,706.705115208686,0.9610168095179308,64.55533813404608,T-Channel RX,89.0,9900.0,-0.5025881407270881,37650.475209719705
15,2014-03-07 16:09:42.260,2014-03-07 16:09:42.300,18118.94269632412,38081.7653846541,706.705115208686,0.9610168095179308,64.55533813404608,T-Channel RX,89.0,9900.0,-0.5025881407270881,37650.475209719705
16,2014-03-07 16:09:42.405,2014-03-07 16:09:42.400,18118.94247342167,38081.76547227043,706.6979903052354,0.9610071228785874,64.55533845865038,T-Channel RX,90.0,9900.0,-0.5025881407270881,37650.475987443315
17,2014-03-07 16:09:42.548,2014-03-07 16:09:42.500,18118.94247342167,38081.76547227043,706.6979903052354,0.9610071228785874,64.55533845865038,T-Channel RX,90.0,9900.0,-0.5025881407270881,37650.475987443315
18,2014-03-07 16:09:42.709,2014-03-07 16:09:42.700,18118.94269632412,38081.7653846541,706.705115208686,0.9610168095179308,64.55533813404608,T-Channel RX,90.0,9900.0,-0.5025881407270881,37650.475209719705
19,2014-03-07 16:09:42.869,2014-03-07 16:09:42.900,18118.94269632412,38081.7653846541,706.705115208686,0.9610168095179308,64.55533813404608,T-Channel RX,90.0,9900.0,-0.5025881407270881,37650.475209719705
20,2014-03-07 16:09:43.028,2014-03-07 16:09:43.000,18118.94247342167,38081.76547227043,706.6979903052354,0.9610071228785874,64.55533845865038,T-Channel RX,89.0,9900.0,-0.5025881407270881,37650.475987443315
21,2014-03-07 16:11:08.306,2014-03-07 16:11:08.300,18118.95207883757,38081.76169365439,707.0043272488455,0.961423602243743,64.55532446889343,T-Channel RX,89.0,9820.0,-0.5025881407270881,37638.44254631371
22,2014-03-07 16:11:08.409,2014-03-07 16:11:08.400,18118.94247342167,38081.76547227043,706.6979903052354,0.9610071228785874,64.55533845865038,T-Channel RX,89.0,9820.0,-0.5025881407270881,37638.47598744333
23,2014-03-07 16:11:08.568,2014-03-07 16:11:08.600,18118.94269632412,38081.7653846541,706.705115208686,0.9610168095179308,64.55533813404608,T-Channel RX,89.0,9820.0,-0.5025881407270881,37638.47520971972
24,2014-03-07 16:11:08.746,2014-03-07 16:11:08.700,18118.94247342167,38081.76547227043,706.6979903052354,0.9610071228785874,64.55533845865038,T-Channel RX,89.0,9820.0,-0.5025881407270881,37638.47598744333
